"Motion Profile Trajectory generated by MCSF"
maxV(rps),2855.98
maxA(rps/s),1903.99
dist(r),42839.7
ItP(ms),10
T1(ms),1499
T2(ms),749
T4(ms),14999
FL1,150
FL2,75
N,1499
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
413,4.12,1,75,2855.98,8581.84,0,10
414,4.13,1,75,2855.98,8610.4,0,10
415,4.14,1,75,2855.98,8638.96,0,10
416,4.15,1,75,2855.98,8667.52,0,10
417,4.16,1,75,2855.98,8696.08,0,10
418,4.17,1,75,2855.98,8724.64,0,10
419,4.18,1,75,2855.98,8753.2,0,10
420,4.19,1,75,2855.98,8781.76,0,10
421,4.2,1,75,2855.98,8810.32,0,10
422,4.21,1,75,2855.98,8838.88,0,10
423,4.22,1,75,2855.98,8867.44,0,10
424,4.23,1,75,2855.98,8896,0,10
425,4.24,1,75,2855.98,8924.56,0,10
426,4.25,1,75,2855.98,8953.12,0,10
427,4.26,1,75,2855.98,8981.68,0,10
428,4.27,1,75,2855.98,9010.23,0,10
429,4.28,1,75,2855.98,9038.79,0,10
430,4.29,1,75,2855.98,9067.35,0,10
431,4.3,1,75,2855.98,9095.91,0,10
432,4.31,1,75,2855.98,9124.47,0,10
433,4.32,1,75,2855.98,9153.03,0,10
434,4.33,1,75,2855.98,9181.59,0,10
435,4.34,1,75,2855.98,9210.15,0,10
436,4.35,1,75,2855.98,9238.71,0,10
437,4.36,1,75,2855.98,9267.27,0,10
438,4.37,1,75,2855.98,9295.83,0,10
439,4.38,1,75,2855.98,9324.39,0,10
440,4.39,1,75,2855.98,9352.95,0,10
441,4.4,1,75,2855.98,9381.51,0,10
442,4.41,1,75,2855.98,9410.07,0,10
443,4.42,1,75,2855.98,9438.63,0,10
444,4.43,1,75,2855.98,9467.19,0,10
445,4.44,1,75,2855.98,9495.75,0,10
446,4.45,1,75,2855.98,9524.31,0,10
447,4.46,1,75,2855.98,9552.87,0,10
448,4.47,1,75,2855.98,9581.43,0,10
449,4.48,1,75,2855.98,9609.99,0,10
450,4.49,1,75,2855.98,9638.55,0,10
451,4.5,1,75,2855.98,9667.11,0,10
452,4.51,1,75,2855.98,9695.67,0,10
453,4.52,1,75,2855.98,9724.23,0,10
454,4.53,1,75,2855.98,9752.79,0,10
455,4.54,1,75,2855.98,9781.35,0,10
456,4.55,1,75,2855.98,9809.91,0,10
457,4.56,1,75,2855.98,9838.47,0,10
458,4.57,1,75,2855.98,9867.03,0,10
459,4.58,1,75,2855.98,9895.59,0,10
460,4.59,1,75,2855.98,9924.15,0,10
461,4.6,1,75,2855.98,9952.71,0,10
462,4.61,1,75,2855.98,9981.27,0,10
463,4.62,1,75,2855.98,10009.8,0,10
464,4.63,1,75,2855.98,10038.4,0,10
465,4.64,1,75,2855.98,10066.9,0,10
466,4.65,1,75,2855.98,10095.5,0,10
467,4.66,1,75,2855.98,10124.1,0,10
468,4.67,1,75,2855.98,10152.6,0,10
469,4.68,1,75,2855.98,10181.2,0,10
470,4.69,1,75,2855.98,10209.7,0,10
471,4.7,1,75,2855.98,10238.3,0,10
472,4.71,1,75,2855.98,10266.9,0,10
473,4.72,1,75,2855.98,10295.4,0,10
474,4.73,1,75,2855.98,10324,0,10
475,4.74,1,75,2855.98,10352.5,0,10
476,4.75,1,75,2855.98,10381.1,0,10
477,4.76,1,75,2855.98,10409.7,0,10
478,4.77,1,75,2855.98,10438.2,0,10
479,4.78,1,75,2855.98,10466.8,0,10
480,4.79,1,75,2855.98,10495.3,0,10
481,4.8,1,75,2855.98,10523.9,0,10
482,4.81,1,75,2855.98,10552.5,0,10
