"Motion Profile Trajectory generated by MCSF"
maxV(rps),2244.02
maxA(rps/s),1496.01
dist(r),33660.3
ItP(ms),10
T1(ms),1500
T2(ms),750
T4(ms),15000
FL1,150
FL2,75
N,1500
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
451,4.5,1,75,2244.02,7595.72,0,10
452,4.51,1,75,2244.02,7618.16,0,10
453,4.52,1,75,2244.02,7640.6,0,10
454,4.53,1,75,2244.02,7663.04,0,10
455,4.54,1,75,2244.02,7685.48,0,10
456,4.55,1,75,2244.02,7707.92,0,10
457,4.56,1,75,2244.02,7730.36,0,10
458,4.57,1,75,2244.02,7752.8,0,10
459,4.58,1,75,2244.02,7775.24,0,10
460,4.59,1,75,2244.02,7797.68,0,10
461,4.6,1,75,2244.02,7820.12,0,10
462,4.61,1,75,2244.02,7842.56,0,10
463,4.62,1,75,2244.02,7865,0,10
464,4.63,1,75,2244.02,7887.44,0,10
465,4.64,1,75,2244.02,7909.88,0,10
466,4.65,1,75,2244.02,7932.32,0,10
467,4.66,1,75,2244.02,7954.76,0,10
468,4.67,1,75,2244.02,7977.2,0,10
469,4.68,1,75,2244.02,7999.64,0,10
470,4.69,1,75,2244.02,8022.08,0,10
471,4.7,1,75,2244.02,8044.52,0,10
472,4.71,1,75,2244.02,8066.96,0,10
473,4.72,1,75,2244.02,8089.4,0,10
474,4.73,1,75,2244.02,8111.84,0,10
475,4.74,1,75,2244.02,8134.28,0,10
476,4.75,1,75,2244.02,8156.72,0,10
477,4.76,1,75,2244.02,8179.16,0,10
478,4.77,1,75,2244.02,8201.61,0,10
479,4.78,1,75,2244.02,8224.05,0,10
480,4.79,1,75,2244.02,8246.49,0,10
481,4.8,1,75,2244.02,8268.93,0,10
482,4.81,1,75,2244.02,8291.37,0,10
483,4.82,1,75,2244.02,8313.81,0,10
484,4.83,1,75,2244.02,8336.25,0,10
